study	ENA.ID	condition	gender	lib.type	localID	sample
E-GEOD-30352	SRR306838	Frontal.cortex	f	se	frontal1	SRR306838_se
E-GEOD-30352	SRR306839	Frontal.cortex	m	se	frontal2	SRR306839_se
E-GEOD-30352	SRR306840	Prefrontal.cortex	m	pe	prefrontal1	SRR306840_pe
E-GEOD-30352	SRR306841	Prefrontal.cortex	m	se	prefrontal3	SRR306841_se
E-GEOD-30352	SRR306842	Prefrontal.cortex	m	pe	prefrontal2	SRR306842_pe
E-GEOD-30352	SRR306843	Temporal.lobe	m	se	temporal1	SRR306843_se
E-GEOD-30352	SRR306844	Cerebellum	f	se	cerebellum1	SRR306844_se
E-GEOD-30352	SRR306845	Cerebellum	m	se	cerebellum2	SRR306845_se
E-GEOD-30352	SRR306846	Cerebellum	m	se	cerebellum3	SRR306846_se
E-GEOD-30352	SRR306847	Heart	f	se	heart1	SRR306847_se
E-GEOD-30352	SRR306848	Heart	m	se	heart2	SRR306848_se
E-GEOD-30352	SRR306849	Heart	m	se	heart3	SRR306849_se
E-GEOD-30352	SRR306850	Heart	m	se	heart4	SRR306850_se
E-GEOD-30352	SRR306851	Kidney	f	se	kidney1	SRR306851_se
E-GEOD-30352	SRR306852	Kidney	m	se	kidney2	SRR306852_se
E-GEOD-30352	SRR306853	Kidney	m	se	kidney3	SRR306853_se
E-GEOD-30352	SRR306854	Liver	m	se	liver1	SRR306854_se
E-GEOD-30352	SRR306855	Liver	m	se	liver2	SRR306855_se
E-GEOD-30352	SRR306856	Liver	m	se	liver3	SRR306856_se
E-GEOD-30352	SRR306857	Testis	m	se	testis1	SRR306857_se
E-GEOD-30352	SRR306858	Testis	m	se	testis2	SRR306858_se
