study	ENA.ID	condition	gender	genetic.bg	age	lib.type	sample	localID
E-MTAB-305	ERR015534	Adipose	pool	pool	pool	se	adipose_se	adipose_se
E-MTAB-305	ERR015535	Colon	pool	pool	pool	se	colon_se	colon_se
E-MTAB-305	ERR015536	Heart	pool	pool	pool	se	heart_se	heart_se
E-MTAB-305	ERR015537	Hypothalamus	pool	pool	pool	se	hypothalamus_se	hypothalamus_se
E-MTAB-305	ERR015538	Kidney	pool	pool	pool	se	kidney_se	kidney_se
E-MTAB-305	ERR015539	Liver	pool	pool	pool	se	liver_se	liver_se
E-MTAB-305	ERR015540	Lung	pool	pool	pool	se	lung_se	lung_se
E-MTAB-305	ERR015541	Ovary	pool	pool	pool	se	ovary_se	ovary_se
E-MTAB-305	ERR015542	Skeletal.muscle	pool	pool	pool	se	skeletalmuscle_se	skeletalmuscle_se
E-MTAB-305	ERR015543	Spleen	pool	pool	pool	se	spleen_se	spleen_se
E-MTAB-305	ERR015544	Testis	pool	pool	pool	se	testis_se	testis_se
