GENE	adrenal_gland	anus	ascites	cardia	cerebral_cortex	cervix_uteri	colon	earwax	esophagus	gall_bladder	hair_follicle	kidney	liver	lung	lymph_node	milk	nasopharynx	oral_cavity	ovary	pancreas	placenta	prostate	rectum	saliva	salivary_gland	seminal_vesicle	skin	spleen	stomach	testis	thyroid_gland	tonsil	tube	uterus_post-menopause	uterus_pre-menopause	vulva
ENSG00000152778	10.7982386591846	14.5305090450711	x	x	x	7.82512810615037	3.53345253788815	x	4.73344529772247	x	x	4.35384404591581	3.77928170934039	4.11047484842573	23.7632323257143	x	x	x	31.2685435952797	5.14840288476683	6.2329609352134	23.5833959618228	9.55713103002254	x	7.70855564754289	x	x	31.8812797744136	7.99848002217978	19.423738329996	4.12200555232087	7.34821771780763	11.473554208112	5.84476756170369	4.97103001767661	x
ENSG00000161057	56.7844508403746	76.4112558165824	5.52481859562006	4.01315607271118	x	30.8623667447875	88.2611089891282	25.5326663145542	53.9319313064013	43.4460661539455	184.618529379011	25.7573926979646	48.0179163438382	54.0391503484915	101.532572956832	50.3111630437311	8.51531541639441	x	50.4203904800989	22.5614904849802	57.3599761244835	48.1977783683615	40.8345165448614	10.4034893469726	60.8052081038992	4.71563321725614	53.7069638490191	69.8548588258085	75.3600514859872	98.8066254383442	54.1907409710815	72.4535710633537	72.9056583836235	38.4196819912251	35.9439326671067	89.9527965953406
ENSG00000197969	16.9797368994619	0.380809359112015	x	x	x	x	0.463016055470657	x	4.13507025029498	16.2391015870777	x	19.3976256758475	12.9012165561892	3.23176694185952	0.622776617413464	x	x	x	0.708314299998429	0.449757127553064	x	0.751824459935169	x	x	6.06067576858056	x	x	16.4625866952146	8.3848295793869	17.86935212847	x	4.81447358632468	1.0023133190942	x	x	x
ENSG00000138443	0.278876184150737	0.262686270502772	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.240997623253725	1.68824140943863	x	x	0.345703094432959	x	x	x
ENSG00000188906	x	x	x	x	x	x	x	x	x	x	x	x	x	61.2711205021398	0.520907282090755	x	x	x	x	x	x	x	x	x	x	x	x	10.7154637264444	x	x	x	x	x	x	x	x
ENSG00000051596	x	3.24832927705794	x	x	x	x	7.89911577929896	x	28.2179404162668	x	x	x	x	x	5.3123261574467	x	x	x	13.4446522518115	x	x	5.18728570544658	x	x	x	8.01867697410926	x	4.55327657789429	2.98013152274052	13.2585332132954	4.60741990327625	8.21355627421983	x	x	x	x
ENSG00000127329	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.7746782866819	x	x	x	x	x	x	x	x	x	x	x	x	9.01116341597818	x	x	x	x	x	x	x	x
ENSG00000095637	5.8954212967944	22.2126710204909	x	156.660428709496	1.47867486020911	105.737389355221	293.227551648406	x	252.397850648818	4.5106161964288	x	3.56554606561436	15.1266175823241	1.12208026355924	x	x	279.365799463124	x	6.27969053383624	11.2433166072009	44.2384275242676	280.043774124877	116.096594255273	x	23.8485842499792	694.227263153363	28.4991127631433	x	103.349048478047	x	x	1.00296077430642	63.6851946532441	114.876625424075	101.774640608707	142.419655025602
ENSG00000189241	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.16499456486774	x	x	x	x	x	x	x	x	x	x
ENSG00000182511	4.37862225083331	6.18663773233941	x	x	x	2.77641298570111	x	x	2.23928159188827	5.8626849608585	x	x	12.8793942780967	11.6674135853159	8.43136954646012	x	x	x	3.83576354753479	x	x	3.6822756898531	x	11.2309142685239	65.6412532871362	x	x	179.031278080606	9.45973173354891	x	x	2.60720167347098	x	4.14753300817255	10.5825479962734	x
ENSG00000109103	x	x	x	x	x	x	x	x	1.51227682584194	x	x	x	x	x	3.41642555936057	x	x	2.32519172025364	2.59044523179182	x	x	x	x	x	x	x	x	x	x	3.81545751214619	x	x	x	x	x	x
ENSG00000100450	x	x	x	x	x	x	x	28.5943391729551	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	124.843947454591	x	x	x	x	x	x	x	x
ENSG00000100796	15.0768285633002	12.7814007873332	x	x	x	1.91199423966612	1.72672978817197	x	16.9630486509179	x	27.4500968219815	x	7.4105868252064	x	33.6766304265402	x	x	x	30.3256348973112	1.67728315338679	3.04592723404112	7.33950364658493	4.6703847475098	x	8.78971748110163	1.7528656092381	x	15.9253840971726	13.0290073389532	35.1878116861313	4.02868848407212	7.18186322711724	x	5.71244930872451	17.0047223279943	x
ENSG00000249948	x	x	x	x	x	x	x	x	x	26.8250347227082	x	12.1169250307431	22.4640272579484	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000105701	x	31.5521870286429	x	x	x	8.49591383077169	26.8544303886821	x	20.5568230074156	4.48500155604887	x	14.1811929510698	18.6632772104238	8.92566604458047	18.0601850869172	x	14.064777329188	x	17.6625299653828	3.72648955874145	87.9744175266262	28.5363394890747	15.564581294838	x	8.36934854648045	x	x	23.9587603665001	8.68412582180958	18.4761144627574	4.47535216132187	7.978121724445	4.1523634528186	12.691585592342	5.39715671199881	x
ENSG00000135541	1.04603296297985	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1.76090740516522	x	x	x	x	x	x
ENSG00000143376	12.0480556389123	14.5910780698526	x	2.55443489913713	x	5.45676833163014	13.7984831981863	x	7.04174252988957	1.1522534218611	x	14.5733087489387	4.22991394719298	2.29311609232031	5.96557176663669	x	3.61341854684848	x	6.71110153401662	6.70167491437969	10.4315707190003	12.2266841706609	11.99621126059	x	12.1844163244648	7.00366867573306	8.86285545801747	11.192344129467	11.1553068254314	7.70910015031134	4.599097482998	6.14904004522668	7.46756150754914	1.63031414202031	8.31958546101358	x
ENSG00000163602	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.09933514754957	x	1.66569077175731	x	x	x	x	x	x	1.08861617863394	x	x	x	x	x	1.56195033015444	x	x
ENSG00000214814	x	0.964138056783352	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	63.686459670901	x	x	x	x	x	x	x
ENSG00000062282	x	x	x	x	x	x	x	x	x	x	x	x	2.56054945376336	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000157216	x	1.84154020883714	x	x	x	x	x	x	1.99966149730174	x	x	x	x	x	x	x	x	x	4.71308630522598	x	x	x	x	x	x	x	x	x	x	5.46107322330948	x	x	x	3.70371555559348	6.30009012656931	x
ENSG00000142871	x	2.54759798322972	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	10.55678043533	x	x	x	x	x	x
ENSG00000102174	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	10.6662648377909	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000175130	10.9362469225492	41.205410582197	x	7.21376023899938	89.6047374383103	9.24599451035719	50.100571888008	x	29.8289705636346	9.76193982005221	x	10.2888074422319	38.0407922870359	19.4273767115118	115.120202745658	206.710222060782	x	51.5962642997542	152.871622281262	x	7.36472576659265	12.6616938996562	45.1699600771519	x	9.10825512798255	55.0971365484117	10.7266410041792	21.8612689646709	28.3524696489569	152.011584965518	34.0932801789223	39.071195884782	40.6706769972657	62.1544072519608	64.6102238760116	10.1057916716513
ENSG00000165240	x	x	x	x	x	x	x	x	0.74677916108121	1.95514980010241	x	5.15168096320641	0.905571918359703	12.6456580639857	1.12471269347805	x	x	x	x	x	1.47502877253812	1.09823943498551	x	x	1.82422792201372	x	x	x	1.89283845862618	0.628038489464435	x	0.869477016886644	x	x	x	x
ENSG00000100218	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	13.2995662665652
ENSG00000172020	3.25805427343699	x	x	x	5.72023930666901	x	48.508299635737	x	x	x	x	x	x	x	x	x	x	x	x	x	x	17.01855159358	50.4627578715683	x	24.4212395514608	79.5456130340623	172.562932766864	x	8.44658003394314	16.4539706669909	x	x	x	x	x	x
ENSG00000172172	2.61662913975653	2.46472301715085	x	x	x	x	x	10.9810960321995	x	3.50349297724307	x	44.3109856637566	9.6560129473794	x	8.0616288794037	x	x	x	10.6559312847582	x	5.28629872304221	x	x	x	6.53778008552698	x	3.84971758895236	5.07621620093132	x	9.00321167068322	x	x	x	x	x	x
ENSG00000115486	2.45483994205458	3.85387725036072	x	x	x	x	0.937165539676373	x	1.67391402390062	16.4343398278525	x	4.61902070137455	32.868165954888	2.18041438980437	0.63026408896646	x	x	x	x	x	6.6125877011182	2.46171624441328	x	x	x	x	x	1.5874492994589	x	14.5243004842601	x	x	x	x	x	x
ENSG00000029639	x	x	x	x	x	x	x	x	x	x	x	x	10.6557697071641	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000132604	x	x	x	x	x	x	4.75588734147534	x	x	x	x	x	x	x	x	x	x	x	13.3709893076878	2.30984887499596	x	x	x	x	x	x	x	13.7071483974156	x	x	x	x	x	x	x	x
ENSG00000139218	x	0.773432239373733	x	x	x	x	x	x	x	x	x	x	x	x	3.79461929422283	x	x	x	x	x	x	x	x	x	x	x	x	3.25242664744722	x	2.76450556701134	x	x	x	x	x	x
ENSG00000178372	x	20.3748523222214	x	x	x	x	x	8018.56506598054	22.1243106756178	x	393.824206326077	x	x	x	x	25.553017118835	x	147.407410372354	15.4775557255851	x	x	44.6638571682661	x	517.824901652106	804.672103984197	x	1103.23315417605	28.5600165328224	x	12.1377563981179	x	85.8646511554063	8.93797441706821	x	x	x
ENSG00000183117	0.458374864846338	x	x	x	x	x	x	x	x	x	x	x	x	x	0.706108479779032	x	x	x	0.983956510381706	x	x	0.689488242079785	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000168564	x	27.8728379128074	x	x	x	x	7.82073425557934	x	6.98448470060849	x	x	x	x	3.03262707027367	36.8172902157772	x	x	x	82.9573277405204	5.06451980456666	x	3.42387546011836	x	x	1.89573998069856	x	x	50.9994550250002	11.8022408265534	15.3272072708317	x	2.71068487109497	x	x	x	x
ENSG00000005884	16.9562726057776	23.4254401159178	3.07953933035657	33.5540572533125	41.6787138823752	34.4054272818329	41.4289087486649	x	20.8119542292634	x	x	39.8811002106954	3.2641519716041	69.2793940277192	5.2240944216687	x	x	35.5547658921062	21.0816650039252	13.8333767357624	52.5262618691624	62.5926757814437	31.5155073708582	x	8.47322073139753	70.9694622793405	x	6.74847242236675	29.3063490500564	115.537927209155	34.7368682906617	33.6547432663324	25.2233912094741	32.1227529114441	30.9634654003027	x
ENSG00000128595	41.0460858855631	85.6113518719423	11.9806835439221	21.7565301409348	211.0490754088	22.3085604825044	30.2204278003759	x	74.969557673987	21.5906382599948	x	6.20615994474035	37.8225707505894	48.8270902852938	11.2910506257684	31.1716568592841	55.3969134994123	331.974638751365	103.148680464287	21.2008590588091	162.886816392722	81.039722386236	63.5747142245642	22.56018210579	45.173352434743	69.8773133331964	66.8593437927947	18.585058709784	50.6728162351903	190.676898933884	35.2541232267727	75.0670442538993	81.7745328027862	36.1026796311389	70.8592385359938	40.6384379884867
ENSG00000086102	x	x	x	x	x	x	x	x	x	x	x	x	3.2957897617293	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	6.79387450867719	x	x	x	x	x	x
ENSG00000100211	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	10.4769270041589	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
