GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000109819	x	x	x	x	x	x	x	1.52726333821309	x	x	x	x	x	x	x	5.10310601159769	x	x	x	x	1.27623941537759	x	x	x	x	x	x	x	x	x
ENSG00000152778	9.8216126382522	17.7520461100844	28.2173641726891	8.80927275406232	4.81926652951476	4.44395679425222	12.7849576447303	5.52405109990905	9.64731781606672	3.96239373216742	7.30787603550641	4.49966464839037	11.8042477072113	13.476271654684	6.21706541974439	2.71631783696518	8.45294425557984	3.08326166559707	4.60159632137346	7.6540609833133	4.634851364019	8.16233428021257	4.98560767241147	3.15804740304496	5.02176958364538	3.69027673431359	7.03498173347093	10.1229333921349	9.39314272805399	8.95840311089506
ENSG00000197969	11.1204149359658	3.72718274630454	2.8989861271454	2.41824725603802	1.52802451978162	x	2.19752390917001	1.17540136018856	1.11892225921824	2.9411012091408	10.5230601929575	1.68223677738342	1.49724234162414	10.6648073805962	0.543113961276626	2.0573264433271	1.10765571756374	2.83910007165103	2.1739787819105	2.06599944027701	0.566928397476311	47.2231387848353	3.04874899114718	16.8977631026664	1.85510658826561	0.48356596241087	3.75138078953549	1.82838711712001	26.4313269054064	2.7390765821552
ENSG00000161057	58.5759694470432	120.351286353286	167.931926152112	86.0563556982115	73.9213857455188	67.2147490678755	107.792214208916	97.6329776407529	85.2709298257496	92.4478856308611	176.577145345072	85.8392516003187	153.973246366441	54.5406234217232	41.2368882282031	44.3828099452242	88.2541758084794	80.4913780504605	73.5222259586084	136.434727223082	104.98784067866	120.345241932664	86.2028903191829	55.3403725349095	58.5226776038357	62.7236580541819	111.290958671118	40.7160946141509	123.769097681953	52.2992132029935
ENSG00000138443	x	x	x	x	1.75674543676396	x	5.77449510594326	1.0425778467917	1.03751657192586	0.547896949186783	3.61734583118475	0.580212243448916	1.2910167428566	6.63802500250639	0.749291358166321	x	x	x	x	x	x	1.9878987827832	0.750139276958783	x	0.907848389316773	0.333568847950585	1.60048023937466	1.75090955771758	1.80616904804888	1.34960258192038
ENSG00000173769	x	x	1.66525937262346	x	x	3.34504809316136	x	x	1.09119811318053	1.85138269090706	x	x	x	x	x	x	x	1.00913755284139	x	1.8629545226198	x	x	1.25091956035071	0.978647498939386	1.06562553176712	x	x	x	x	x
ENSG00000124151	x	3.94945202046738	5.59421431765557	2.65441489500387	x	x	x	x	0.723086652819261	x	x	1.62311798901083	x	x	x	x	x	x	x	2.50333780668952	2.65666900117915	x	1.68091823527162	x	2.14789517059295	x	0.593615444593559	x	x	8.50552515618255
ENSG00000188906	x	11.9312992279557	x	0.506597943778117	x	1.94829510034098	0.919034349434498	x	x	x	x	x	x	0.648086482599313	x	x	x	8.43773594810183	14.5209730808379	37.9853193207125	x	x	x	x	0.679245494430824	1.49038970857648	0.872206490727999	x	1.65793592908923	x
ENSG00000051596	3.27096146261801	34.9724296440557	20.2713423700764	24.6186770837734	8.60122448524092	x	16.5873108055513	16.7025881508807	7.96855759595983	12.2736740633561	44.0737190649368	x	12.396112321894	5.68962991438086	x	x	5.53252059868069	x	x	43.0332212742359	21.1197349103482	7.81519646926657	22.2908850832206	x	6.32967325884835	20.6242498444725	13.1200250964038	3.11925285459673	7.94945620860385	10.0133598246781
ENSG00000127329	x	1.37857301172468	0.859344798058527	0.746053065196769	0.607848547249996	5.75342379057998	x	x	x	0.749143722731768	x	x	2.57464186718754	x	x	2.61784863440031	x	2.09139292553634	x	x	x	x	x	2.11923747943435	x	x	x	x	x	x
