GENE	adrenal_gland	anus	ascites	cardia	cerebral_cortex	cervix_uteri	colon	earwax	esophagus	gall_bladder	hair_follicle	kidney	liver	lung	lymph_node	milk	nasopharynx	oral_cavity	ovary	pancreas	placenta	prostate	rectum	saliva	salivary_gland	seminal_vesicle	skin	spleen	stomach	testis	thyroid_gland	tonsil	tube	uterus_post-menopause	uterus_pre-menopause	vulva
ENSG00000152778	36.8112376988945	53.6345389959532	x	x	x	27.7832207126383	13.0882415285569	x	16.8110529027867	x	x	14.3532517797858	12.8556104545832	13.8552347077523	82.1480911658188	x	x	x	105.970513087306	17.3531113374446	23.6587554092673	86.4861374820753	35.2273164158204	x	24.7286875351134	x	x	121.434399658259	30.7723167800325	66.8279963998784	14.9289633151845	22.8546509545198	42.4201752690757	21.2302934273624	18.8069744944508	x
ENSG00000161057	193.578414356335	282.046724386054	16.6700178809214	15.6299158167698	x	109.577240826368	326.927473806799	59.9769551414255	191.541782637186	134.06837363244	603.253388908249	84.9140067227506	160.251796240332	182.150515231255	350.992110216103	115.872359596115	25.1443336168756	x	170.204407282247	76.0453416501202	217.724073601001	175.237435560455	150.514880511112	28.7064378275205	195.06027594004	17.5987516286387	178.053338305609	267.068960438028	289.93050810351	341.064745726306	196.266495450117	225.34730742239	269.547757446782	139.554073527931	135.987234536251	296.070820445149
ENSG00000197969	57.8839893058987	1.40563103178037	x	x	x	x	1.71505514807951	x	14.6858958669905	50.1115551248538	x	63.947859022799	42.8559292245575	10.8933617529292	2.15290199758983	x	x	x	2.40147934197868	1.51594303785553	x	2.67155998913621	x	x	19.4423656240497	x	x	64.0356546420348	32.2587080605302	66.9570307817437	x	14.974122647258	3.7057659639978	x	x	x
ENSG00000138443	0.950689999299264	0.969618956588554	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.927183062961192	5.62833536565212	x	x	1.27813801991189	x	x	x
ENSG00000188906	x	x	x	x	x	x	x	x	x	x	x	x	x	206.527417553534	1.80074571975738	x	x	x	x	x	x	x	x	x	x	x	x	42.1032491097641	x	x	x	x	x	x	x	x
ENSG00000051596	x	11.9901266185274	x	x	x	x	29.2590700095524	x	100.21733838855	x	x	x	x	x	18.3643978858999	x	x	x	45.2716274699755	x	x	19.1827198414386	x	x	x	29.925716856271	x	17.8907551664449	11.4653722969405	47.3869142927471	16.6870233046954	25.5460533358566	x	x	x	x
ENSG00000127329	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.67801709995747	x	x	x	x	x	x	x	x	x	x	x	x	35.1943639168301	x	x	x	x	x	x	x	x
ENSG00000095637	20.0975141910608	81.9906836269384	x	610.140564728718	4.3592579683746	375.421997721072	1086.14251292463	x	896.402800270771	13.9191192913201	x	11.7544817573783	50.1731495479947	3.78221154144855	x	x	824.921511342007	x	21.0919350716943	37.8965145606963	167.917968260363	1022.38228928866	427.928784044301	x	76.5051476615523	2590.85739182544	94.4823874328601	x	397.611752465777	x	x	3.11943920255633	235.457737875661	417.273131899777	385.04556667402	468.76034661416
ENSG00000189241	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	8.0797636010016	x	x	x	x	x	x	x	x	x	x
ENSG00000182511	14.9267403283403	22.8359145353926	x	x	x	9.85769098278922	x	x	7.95291356247067	18.0914109700191	x	x	43.0256986914065	39.3275131506718	29.1467467330119	x	x	x	13.0048298052716	x	x	13.3228108640492	x	30.9895585455099	210.574083676523	x	x	652.393334194102	36.3941474819815	x	x	8.10899819568726	x	15.0653284041817	40.0371169645916	x
