GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000109819	x	x	x	x	x	x	x	5.02642899866755	x	x	x	x	x	x	x	17.3335498020693	x	x	x	x	3.8066815893117	x	x	x	x	x	x	x	x	x
ENSG00000152778	34.6225106517502	64.5786506769979	98.6891545235356	31.7867564061578	18.3713781478136	14.9363908646823	51.3996585675233	18.9642599562551	35.2418850063513	12.5466774987708	24.7297726072619	15.6233362828759	38.6350473699435	54.2173663831759	24.3588524322461	10.2631538067804	25.6410929716834	10.4240168841723	19.2092471503151	24.7966601468514	15.0374422623519	31.0670397871694	16.7465954203593	11.5712449889817	18.9672061183086	13.7239449770161	25.0452222827188	37.3471169698089	34.7557599184697	34.3017046542706
ENSG00000197969	40.3788634709485	13.4979722350184	10.1673493895653	8.79264038817239	5.71363030500744	x	8.51766232303667	3.95218647038307	4.00306971146735	9.34651910146504	34.8020699785583	5.89825458524577	5.06645798637581	41.854083222874	2.12795458040618	7.16287478565615	3.35995392563019	9.01950965191786	7.25874303636425	6.53467401061785	2.11483109324943	177.290518598159	10.2407107112532	61.9137152048008	6.92523000716706	1.79835636692949	12.8729873237632	6.29479433285699	94.972030413138	10.4879178558341
ENSG00000161057	206.327345081767	416.119051221138	589.626516810193	310.663782218568	289.331143318783	233.099066718584	432.84254794622	328.473601803518	312.117820010157	293.036602785208	590.32629719193	296.533293246598	491.771419154573	211.361540665077	162.23876796721	160.654416912406	269.651714338622	255.319583941695	251.997716153512	440.500945028591	340.188827827077	454.52837765966	296.126223773177	204.692793201221	224.269781922976	256.667032588365	395.051630390148	145.919795039267	451.237025419646	203.392692847902
ENSG00000138443	x	x	x	x	6.56886969792381	x	23.1825250112564	3.474609435737	3.71687561074122	1.74109685480653	11.9837643590871	2.03433878711255	4.36861949836088	25.8013626019486	2.93577055894662	x	x	x	x	x	x	7.57814754743802	2.5842583652836	x	3.42894018483539	1.24052499173127	5.54276953368525	6.36644516768643	6.48725234064079	5.16762514396927
ENSG00000173769	x	x	5.84041217278367	x	x	11.2428963857704	x	x	3.9158840274457	5.88721594679467	x	x	x	x	x	x	x	3.36846451821257	x	6.18710005852712	x	x	4.20182356035138	3.87404441743023	3.97804738319457	x	x	x	x	x
ENSG00000124151	x	14.3761772434862	19.6200771694345	9.72673392642103	x	x	x	x	2.58893920462512	x	x	5.69097243015274	x	x	x	x	x	x	x	8.31389134958651	9.15095513341014	x	5.64618386973529	x	8.01822826878443	x	2.02382562535219	x	x	49.4811481951413
ENSG00000188906	x	41.2518021042733	x	1.82148683977247	x	6.54833034742297	3.56220208530579	x	x	x	x	x	x	2.64784781687141	x	x	x	26.393025525984	59.2436712453503	123.55336969015	x	x	x	x	2.72911516469306	6.61906113001439	3.11302397723379	x	6.20992950266866	x
ENSG00000051596	11.8770483905793	126.652465537043	71.5599747209007	89.3749820346111	32.9467040931807	x	65.9425183888619	57.5222662735441	28.517317558663	39.0147159847444	147.403723740262	x	40.4836993726096	20.3367152336861	x	x	16.7896835021069	x	x	138.737630234159	67.7449823729614	29.5739072734282	74.8748113727647	x	23.6290698685522	76.7004998367478	44.7303776160106	10.739003249373	29.2025789151457	38.3411314551493
ENSG00000127329	x	5.13416301099888	3.18603024329915	2.84460361975371	2.50176557567319	21.5427714096986	x	x	x	2.35821230293099	x	x	7.85884665594624	x	x	8.89195904916157	x	6.54182439555487	x	x	x	x	x	8.3891494489172	x	x	x	x	x	x
ENSG00000172244	x	x	23.0812838477237	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000095637	176.438647913038	x	x	x	1485.9130906745	312.053656630923	29.7018565285738	173.024902797116	90.4456462225903	66.9527927146775	8.97462437025626	45.3918243015559	7.91591001678787	88.9769666163435	965.921356961068	572.961822031261	33.9264063753239	80.8987460509318	160.394431461814	x	x	118.050698524613	121.309110101659	x	1290.08062703454	1363.94249762163	61.1749042576541	69.9254500256706	168.859132385687	1496.15623421746
ENSG00000163449	x	x	x	x	x	17.3322570293929	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000182511	x	28.1600362701118	13.8703246647127	15.1844397717573	x	x	x	33.6765412657281	x	13.6684411623889	x	15.9705302661656	x	x	11.5235999193435	x	x	14.7940713290745	10.1532399427215	338.139401860562	75.339706618098	x	7.9224202442256	80.4904965320854	x	x	x	x	5.65866962151099	17.3573186426841
ENSG00000189241	77.6085360283687	31.0867310042816	9.36643371305716	20.0615471781555	x	x	x	x	x	x	36.9821346801571	x	5.83419545634977	9.13615918018769	x	x	x	x	x	x	x	39.3573044754245	6.73858294375052	x	6.37970677749845	x	x	x	48.1310173158587	x
ENSG00000109103	x	9.87294985153885	7.43680079485035	3.9821380946852	x	x	12.1892384432777	x	x	x	5.2251125084079	x	9.26451854276407	4.72412001190241	x	x	x	x	x	11.9492964720298	x	17.1904349103689	x	x	5.06538666554306	x	198.884771041364	9.2085222420023	45.8583233017558	x
