Gene ID	Adult_Adrenalgland	Adult_Bcells	Adult_CD4Tcells	Adult_CD8Tcells	Adult_Colon	Adult_Esophagus	Adult_Frontalcortex	Adult_Gallbladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Monocytes	Adult_NKcells	Adult_Ovary	Adult_Pancreas	Adult_Platelets	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_Spinalcord	Adult_Testis	Adult_Urinarybladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Ovary	Fetal_Placenta	Fetal_Testis
ENSG00000000003	0	0	0	0	1.1197433914088e-05	0	0	0	0	0	0	0	0	0	1.21065714851301e-05	2.44566318558159e-05	0	8.95604022394359e-06	0	0	0	8.37835637976043e-06	0	0	0	0	0	6.79586305153144e-05	0	0
ENSG00000000419	0.000105522996706769	3.6370882597945e-05	2.26166511132464e-05	5.54223632488125e-05	1.2062511490538e-05	2.37803080987566e-05	1.63100391629052e-05	1.70482903108012e-05	0	3.16862297955816e-05	4.45384012580058e-05	0.000112919919152119	0	9.8373680592309e-05	9.2730161412182e-05	4.29789231393375e-05	4.65283194054316e-05	1.97468296403235e-05	2.06997726339894e-05	5.72388562004324e-05	0	7.15595854729814e-05	1.45017652913789e-05	1.78097456487685e-05	6.47850622677561e-05	2.36582997642552e-05	8.18116503529722e-05	0.000110658931128632	5.73398440585196e-05	9.36976589408052e-05
ENSG00000000457	0	0	7.66400123029119e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000938	0	3.31814914421271e-05	0	2.13624464484168e-05	0	0	0	0	0	0	0	0	0.000657122325731745	4.24647130231271e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	0.000259445080196265	0	0	0	0.000300817028883913	0.000173739982417916	1.11310877625834e-05	0.000837946731573316	6.19960756283073e-05	0.000105152294821927	0.000133374090855005	0.000303455802715561	0.00417300775984874	0	0.000320449476336872	0.000197955904910678	5.46398595715224e-05	0.000175444061049975	0.000245093436605226	1.89857605091101e-05	0.000106085898783474	0.000304944027829795	0.000425794501495726	3.04980440402043e-05	5.74631308466803e-05	5.0637994737021e-05	2.54100128672035e-05	3.94753532632098e-05	4.50761532584293e-05	2.44916330391497e-05
ENSG00000001036	8.51434907037383e-05	0	0	0	0	0	0	0	0	1.18037136306521e-05	2.59181827794276e-05	0	5.21878160042451e-05	0	1.6682571786947e-05	0	0	0	1.78858765920883e-05	0	0	1.54346926205677e-05	0	0	4.19295958965944e-05	0	1.12738086888809e-05	4.06852084480972e-05	0	9.0150094230336e-06
ENSG00000001084	6.28463227634573e-05	3.36205670657565e-05	4.32375066225114e-05	5.71120299024762e-05	3.52630745238996e-05	2.57924001821303e-05	5.67014678019265e-05	2.45102445808959e-05	5.00614461029915e-05	2.43044506590237e-05	0.000128645846686378	8.73221182784323e-06	3.89710130188222e-05	5.38646907623496e-05	3.5217236256389e-05	8.98417204610364e-05	1.98486983504587e-05	4.41828312795837e-05	5.57158998840161e-05	5.71551354259786e-05	7.53136235710648e-05	6.1270048957864e-05	5.3063796967611e-05	2.54341684445112e-05	3.29889635403465e-05	2.29681315778471e-05	5.6614244781906e-05	4.95756277209159e-05	1.91675884625792e-05	3.15239145278653e-05
ENSG00000001167	0	9.96402719891532e-05	0	3.60598651457224e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35866879105144e-05	0	0	0	0	0	0	0	0
ENSG00000001497	0	4.79516737674821e-05	2.18350901055418e-05	2.86220000043596e-05	0	0	0	0	0	0	0	0	0	3.82099812560591e-05	2.6984190949173e-05	1.38928853665213e-05	0	0	0	0	0	2.26856578846717e-05	0	1.6107777937027e-05	3.06640918329321e-05	6.16927610066041e-06	1.65644983224306e-06	6.18077022599419e-05	1.06123812124519e-05	2.73489647024424e-05
ENSG00000001561	0	3.82647426154186e-05	3.60536037194689e-05	3.64581990884956e-05	0	0	9.29789505282697e-06	0	0	0	0	0	0	0.000122018097612072	0	0	5.56815841044314e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
