GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.CSF	SpectralCount.adipocyte	SpectralCount.bone	SpectralCount.breast	SpectralCount.heart	SpectralCount.lung	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.platelets_lysate	SpectralCount.platelets_secreted	WithInSampleTop3Abundance.CSF	WithInSampleTop3Abundance.adipocyte	WithInSampleTop3Abundance.bone	WithInSampleTop3Abundance.breast	WithInSampleTop3Abundance.heart	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.platelets_lysate	WithInSampleTop3Abundance.platelets_secreted
ENSG00000000419	4	9	21	0.000125810965335877	-	-	18	3	-	-	-	15	53	-	-	-	0.000278151965663006	7.93110232187892e-05	-	-	-	4.82733967915143e-05	0.000125810965335877	-
ENSG00000000457	1	3	4	1.76916326235526e-05	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	1.76916326235526e-05	-	-
ENSG00000000971	3	48	104.5	0.00044336434607786	189	-	-	-	46	-	-	-	5	-	0.00211909502892036	-	-	-	0.000138935714024368	-	-	-	1.74843538196302e-05	-
ENSG00000001630	1	7	8	0.000129898539826179	-	-	8	-	-	-	-	-	-	-	-	-	0.000129898539826179	-	-	-	-	-	-	-
ENSG00000002549	2	18	56	0.000220638283712328	-	-	-	-	61.5	-	-	-	56	-	-	-	-	-	0.000669910003989072	-	-	-	0.000166627082111469	-
ENSG00000002586	1	3	48	0.000543220312749292	-	-	-	-	-	-	-	-	48	-	-	-	-	-	-	-	-	-	0.000543220312749292	-
ENSG00000002834	4	17	58	0.000448716660219075	-	-	-	-	42.5	-	-	13	45	76.5	-	-	-	-	0.000249852255539106	-	-	0.000156275574579088	0.000578989076952804	0.000508011366524103
ENSG00000003056	1	5	49	0.000276145336988204	-	-	-	-	-	-	-	-	49	-	-	-	-	-	-	-	-	-	0.000276145336988204	-
ENSG00000003436	1	6	22	8.45539195078598e-05	-	-	-	-	-	-	-	-	22	-	-	-	-	-	-	-	-	-	8.45539195078598e-05	-
ENSG00000004059	2	12	67	0.000565862387454224	-	67	-	-	-	-	-	-	75	-	-	0.000565862387454224	-	-	-	-	-	-	0.000409770098208443	-
ENSG00000004139	1	3	3	4.90763387749702e-06	-	-	3	-	-	-	-	-	-	-	-	-	4.90763387749702e-06	-	-	-	-	-	-	-
ENSG00000004455	3	14	232.5	0.000710855504634973	-	-	-	5	106	-	-	-	371.5	-	-	-	-	0.00015602345770425	0.000591104967435924	-	-	-	0.000899842438986708	-
ENSG00000004700	2	5	8.5	9.62340796388922e-05	-	-	-	5	-	-	-	-	12	-	-	-	-	0.000161559734041933	-	-	-	-	3.09084252358514e-05	-
ENSG00000004766	1	13	17	0.000121575976426197	-	-	17	-	-	-	-	-	-	-	-	-	0.000121575976426197	-	-	-	-	-	-	-
ENSG00000004776	2	6	83	0.000608913940769505	-	83	-	-	27.5	-	-	-	-	-	-	0.000653300152324829	-	-	0.000291119763836112	-	-	-	-	-
ENSG00000004864	4	23	17	0.000108248171277951	-	-	22.5	59	-	6	-	4	-	-	-	-	0.000109106160733104	0.000942306766473929	-	8.05587108752087e-05	-	2.90003981058259e-05	-	-
ENSG00000004897	1	6	6	0.000146393862421808	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	0.000146393862421808	-	-	-	-
ENSG00000004939	3	14	190.5	0.00071968468047873	-	195	-	-	34.5	-	-	-	22	-	-	0.000755902105622446	-	-	0.000274851791666295	-	-	-	5.39741670036185e-05	-
ENSG00000004961	2	10	20	0.000179797841785887	-	-	22.5	10	-	-	-	-	-	-	-	-	0.000172710621173809	0.000492924507930681	-	-	-	-	-	-
ENSG00000005007	3	23	43.5	7.17474852651957e-05	-	-	-	-	-	29	-	5	68	-	-	-	-	-	-	0.00043526899193343	-	5.9020159500708e-05	6.90387242130459e-05	-
ENSG00000005020	1	12	98	0.000350236898530076	-	-	-	-	-	-	-	-	98	-	-	-	-	-	-	-	-	-	0.000350236898530076	-
ENSG00000005022	7	26	47	0.000194699792937849	-	31	76.5	132	61.5	3	-	71	55	-	-	0.000194699792937849	0.000550672034624588	0.00626165190292269	0.000708255529873412	3.93214863412951e-05	-	0.000668303521286232	0.000121414511606594	-
ENSG00000005194	1	5	30	0.000122671492868117	-	-	-	-	-	-	-	-	30	-	-	-	-	-	-	-	-	-	0.000122671492868117	-
ENSG00000005249	3	12	70	0.000205605743360254	-	83	-	-	14	-	-	-	65	-	-	0.000329306350093928	-	-	0.000205605743360254	-	-	-	0.00014699844119051	-
ENSG00000005381	2	28	23	9.67052578818828e-05	-	-	-	-	10.5	-	-	-	60	-	-	-	-	-	3.79524666466086e-05	-	-	-	0.00234021607735422	-
ENSG00000005421	1	6	7	1.32731395075416e-05	-	-	-	-	7	-	-	-	-	-	-	-	-	-	1.32731395075416e-05	-	-	-	-	-
ENSG00000005844	1	6	13	5.10501886622544e-05	-	-	-	-	-	-	-	13	-	-	-	-	-	-	-	-	-	5.10501886622544e-05	-	-
ENSG00000005884	2	16	14	0.00025716661144809	-	-	37	12	-	-	-	-	-	-	-	-	0.000215573604319907	0.00025716661144809	-	-	-	-	-	-
ENSG00000005893	1	3	4	4.65053104476027e-05	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	4.65053104476027e-05	-	-
ENSG00000005961	3	48	2111	0.00990674499781756	-	13	-	-	-	-	-	-	2158.5	173.5	-	7.02527355293896e-05	-	-	-	-	-	-	0.0104387287140522	0.000558398317082065
ENSG00000006059	2	5	5	3.71279831634611e-05	-	-	6	-	-	-	-	-	4	-	-	-	6.1797359592214e-05	-	-	-	-	-	1.24586067347083e-05	-
ENSG00000006125	5	18	17	0.000136753581790091	-	-	5	4	14	10.5	-	-	57.5	-	-	-	2.73402499402997e-05	5.40938878460109e-05	0.000103371882904782	0.000144009820786968	-	-	0.000236387211939863	-
ENSG00000006282	1	6	22.5	6.98196110516744e-05	-	-	-	-	22.5	-	-	-	-	-	-	-	-	-	6.98196110516744e-05	-	-	-	-	-
ENSG00000006451	5	7	32	0.000264794931223247	-	41.5	16.5	-	11	12	-	3	-	-	-	0.000271836618430426	0.000238690117171864	-	8.0298415097081e-05	0.000322374705851005	-	1.68448640943155e-05	-	-
ENSG00000006530	3	6	10	0.000193424687399251	-	-	9.5	10	-	13	-	-	-	-	-	-	0.000115205582990004	0.000267981637965361	-	0.00022485508204233	-	-	-	-
ENSG00000006625	1	3	4	3.54015625401221e-05	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	3.54015625401221e-05	-
ENSG00000006652	1	3	4	0.000148323742811902	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	0.000148323742811902	-	-	-	-
ENSG00000006712	1	10	11	0.000183500112612262	-	-	-	-	-	11	-	-	-	-	-	-	-	-	-	0.000183500112612262	-	-	-	-
ENSG00000006715	1	3	3	6.76956276089475e-05	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	6.76956276089475e-05	-	-	-	-
ENSG00000006744	1	9	9	0.000116083757181761	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	0.000116083757181761	-	-	-	-
ENSG00000007080	4	8	6.5	0.000241285928131171	-	-	4	6	-	37	-	7	-	-	-	-	5.30565146705138e-05	0.000386868093694364	-	0.00278205243430405	-	9.57037625679779e-05	-	-
ENSG00000007168	2	6	13	5.12892141334762e-05	-	-	-	-	8	-	-	-	20	-	-	-	-	-	8.81521444432613e-05	-	-	-	4.65511288154194e-05	-
ENSG00000007392	1	7	8	0.000257631304763872	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	0.000257631304763872	-	-	-	-
ENSG00000007923	3	5	6	0.000162991764361211	-	-	-	6	8	3	-	-	-	-	-	-	-	0.00015144602293351	0.000216923015210738	8.09220234607008e-05	-	-	-	-
ENSG00000008018	5	12	47	0.000233088374605597	-	-	6	-	41	14	-	53	78	-	-	-	7.85630317304198e-05	-	0.000218596415934629	0.000245702900293596	-	0.000954543593443616	0.000241082489262726	-
ENSG00000008128	1	8	10	9.59349665755458e-05	-	-	-	-	-	-	-	10	-	-	-	-	-	-	-	-	-	9.59349665755458e-05	-	-
ENSG00000008294	2	18	26	0.000128936367464698	-	-	-	-	-	20	-	32	-	-	-	-	-	-	-	0.000177188168484363	-	8.06845664450322e-05	-	-
ENSG00000008311	1	4	13	0.000170586697600049	-	-	-	-	13	-	-	-	-	-	-	-	-	-	0.000170586697600049	-	-	-	-	-
ENSG00000008394	1	3	10	3.77703643627e-05	-	10	-	-	-	-	-	-	-	-	-	3.77703643627e-05	-	-	-	-	-	-	-	-
ENSG00000008952	4	7	5	0.000509743194290864	-	-	3	5	-	5	-	28	-	-	-	-	7.50852339623015e-05	0.00042955410224646	-	0.000589932286335268	-	0.000863563266816826	-	-
ENSG00000008988	4	6	17	0.000804707560175506	-	-	10	8	-	18	-	24	-	-	-	-	0.000584133715687659	0.000586723939834919	-	0.00499193758593622	-	0.00476519325594964	-	-
