GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.adrenal_gland	SpectralCount.anus	SpectralCount.ascites	SpectralCount.cardia	SpectralCount.cerebral_cortex	SpectralCount.cervix_uteri	SpectralCount.colon	SpectralCount.earwax	SpectralCount.esophagus	SpectralCount.gall_bladder	SpectralCount.hair_follicle	SpectralCount.kidney	SpectralCount.liver	SpectralCount.lung	SpectralCount.lymph_node	SpectralCount.milk	SpectralCount.nasopharynx	SpectralCount.oral_cavity	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.placenta	SpectralCount.prostate	SpectralCount.rectum	SpectralCount.saliva	SpectralCount.salivary_gland	SpectralCount.seminal_vesicle	SpectralCount.skin	SpectralCount.spleen	SpectralCount.stomach	SpectralCount.testis	SpectralCount.thyroid_gland	SpectralCount.tonsil	SpectralCount.tube	SpectralCount.uterus_post-menopause	SpectralCount.uterus_pre-menopause	SpectralCount.vulva	WithInSampleTop3Abundance.adrenal_gland	WithInSampleTop3Abundance.anus	WithInSampleTop3Abundance.ascites	WithInSampleTop3Abundance.cardia	WithInSampleTop3Abundance.cerebral_cortex	WithInSampleTop3Abundance.cervix_uteri	WithInSampleTop3Abundance.colon	WithInSampleTop3Abundance.earwax	WithInSampleTop3Abundance.esophagus	WithInSampleTop3Abundance.gall_bladder	WithInSampleTop3Abundance.hair_follicle	WithInSampleTop3Abundance.kidney	WithInSampleTop3Abundance.liver	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.lymph_node	WithInSampleTop3Abundance.milk	WithInSampleTop3Abundance.nasopharynx	WithInSampleTop3Abundance.oral_cavity	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.placenta	WithInSampleTop3Abundance.prostate	WithInSampleTop3Abundance.rectum	WithInSampleTop3Abundance.saliva	WithInSampleTop3Abundance.salivary_gland	WithInSampleTop3Abundance.seminal_vesicle	WithInSampleTop3Abundance.skin	WithInSampleTop3Abundance.spleen	WithInSampleTop3Abundance.stomach	WithInSampleTop3Abundance.testis	WithInSampleTop3Abundance.thyroid_gland	WithInSampleTop3Abundance.tonsil	WithInSampleTop3Abundance.tube	WithInSampleTop3Abundance.uterus_post-menopause	WithInSampleTop3Abundance.uterus_pre-menopause	WithInSampleTop3Abundance.vulva
ENSG00000000003	2	3	6.5	1.47448758424936e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.8063644992644e-05	-	-	-	-	-	-	1.14261066923432e-05	-	-	-	-	-	-	-	-	-	-	-
ENSG00000000419	23	10	7.5	2.819282453963e-05	8	7	-	4	-	5	4	-	9	4	-	5	6.5	7	15	-	-	22	11.5	-	11	6.5	-	-	22	6	6	7.5	16	14.5	6	-	7	-	-	-	3.03641623513309e-05	2.2501400112837e-05	-	7.59818918289897e-06	-	8.77396665342883e-06	6.94679840739623e-06	-	2.45230954464772e-05	3.61731792240635e-05	-	3.28863070987537e-05	6.33021032984036e-05	2.65173464279056e-05	3.77848240386575e-05	-	-	3.13014884120448e-05	7.42291883944608e-05	-	9.74699815989439e-05	1.67232665044171e-05	-	-	3.62725275503829e-05	1.0915547096652e-05	1.70772862364314e-05	2.47515935247124e-05	8.26167682116115e-05	4.57676709744882e-05	1.5679682593666e-05	-	2.67744465036778e-05	-	-	-
ENSG00000000457	2	9	10.5	1.88119242160949e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.42067745444586e-05	-	-	-	2.34170738877312e-05	-	-	-	-	-	-	-
ENSG00000000938	2	6	11	3.58947267548134e-05	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	-	-	-	-	-	-	-	-	2.47365322120236e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.00982625200252e-05	-	-	-	-	-	-	-	-
ENSG00000000971	34	71	150	0.000245880978242675	237	363	838	375	107	148	367	-	297	62	-	289	31	124	198	18	38	267	68	508	157	109	83	20	168	254	155	70	156	57	76	268	242	163	95	307	0.000227457394534574	0.000538981880024278	0.00430763671067206	0.00106990096948152	4.79286457016986e-05	0.000206491114821571	0.000399601338428745	-	0.000376645982694626	0.000109192607308554	-	0.000330501900045572	0.000110278674880309	0.000211972677318726	0.000310817337890582	7.454102861252e-06	0.000127305608720432	0.000126419074667934	0.000407395465465466	0.000736748044640465	0.00115710697754913	0.000270983279106973	6.902660166769e-05	5.7499840726803e-05	0.00015639445417435	0.000241789170030489	2.74813960062365e-05	0.000284411717041075	0.000413564075830845	0.000341823064558549	0.000206393218268809	0.000157517864784061	0.000991257469787681	0.000469981608902444	0.000245880978242675	0.000299774907925378
ENSG00000001036	14	9	5.5	3.4901080773071e-05	16	3	-	-	11	-	6	-	-	-	-	-	-	-	-	-	-	5	5	-	3	-	3	-	-	7	-	6	5	11	6	5	-	-	-	-	7.40660387032314e-05	1.83517118582251e-05	-	-	1.37226342532154e-05	-	3.66975609790689e-05	-	-	-	-	-	-	-	-	-	-	2.95183907997681e-05	7.13411133001643e-06	-	5.30840880283416e-05	-	3.31046005670731e-05	-	-	1.32541392730069e-05	-	3.53763601059814e-05	9.64065216610508e-05	0.000112084766217607	4.82164204185592e-05	1.76024432596259e-05	-	-	-	-
ENSG00000001084	27	26	17.5	7.21745457924873e-05	16	17	-	4	9	9	36	-	30	46	-	14	22	3	18	-	-	-	9	21	-	16.5	21	-	33	-	11	45	49	14.5	12	23	36	11	11	20	6.55233004799002e-05	8.99992188699265e-05	-	1.1451301278681e-05	4.33010052721295e-05	5.67477763720787e-05	7.88257911050745e-05	-	0.000191555802846108	0.000113452644661238	-	3.39404616849045e-05	0.00042245992167843	2.805425346225e-05	0.000184607071155128	-	-	-	1.61641300460692e-05	0.000121613736571521	-	5.38331543585174e-05	5.75372970920034e-05	-	5.42923320344975e-05	-	1.72611514672097e-05	0.000195897262374293	0.000422649614640479	8.48108353188859e-05	4.72897405258143e-05	5.37249825857905e-05	0.000161399022609091	0.000136305171460131	8.66869600930654e-05	3.03133036507603e-05
ENSG00000001497	1	4	4	2.43318755729328e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.43318755729328e-05	-	-	-	-	-	-
ENSG00000001561	6	7	13	1.67654976270454e-05	-	-	-	-	14	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	5	15	-	25	-	-	-	11	-	-	-	-	-	-	-	-	1.58407738975384e-05	-	-	-	-	-	-	-	-	-	-	-	-	1.55071004010923e-05	-	-	-	-	-	-	1.55809211639356e-05	1.67654976270454e-05	-	7.04180845250159e-05	-	-	-	2.80601174659969e-05	-	-	-	-
ENSG00000001630	11	21	6	6.29404167270179e-05	57	-	-	-	-	-	3	-	7	-	-	-	13	-	-	-	-	-	-	-	-	3	4	-	4	-	-	-	16	11	4	5	-	-	-	-	0.000158920199097247	-	-	-	-	-	2.10524470313295e-05	-	3.762685420693e-05	-	-	-	0.000153154752605554	-	-	-	-	-	-	-	-	1.56536217887583e-05	2.62506533246519e-05	-	1.13088000849982e-05	-	-	-	6.29404167270179e-05	0.000225005402169058	1.38220504711434e-05	2.78816350161622e-05	-	-	-	-
ENSG00000001631	1	4	5	2.49605715343701e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.49605715343701e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000002330	2	3	4	1.36127295979824e-05	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.74787132132194e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.7467459827453e-06	-	-	-	-	-	-	-	-	-	-	-
ENSG00000002549	35	42	39	0.000271668954202599	58	46	3	23	50	39	43	16	75	111	5	77	34	91	179	34	16	36	26	62	21	25.5	42	-	69	52	70	102	74	21.5	39	80	34	29	38	42	0.000239422058741877	0.000392737168077579	8.91868288217609e-05	3.48294333669237e-05	4.86795067158133e-05	0.000116221809088222	0.000138618369540542	0.00022551175290722	0.000464976823488191	0.000706865744068495	0.000520248433202	0.000343120396201064	0.000350791298900099	0.000377928064958669	0.00152797338947027	3.63557770703925e-05	7.7713923303656e-05	8.82752099716784e-05	0.000563907657797769	0.000336833215582498	0.000473527747285965	9.82142162106538e-05	0.000127995381694086	-	0.000202955269050866	0.000130829568453469	0.000192825142176798	0.000377249561841174	0.000531985512536414	0.000405700068914446	0.000148775281029256	0.000456909900758105	0.000196948137240234	0.000118928736838237	0.000282648154551177	9.77048129637201e-05
ENSG00000002586	7	4	21	9.22426395772797e-05	-	8	-	-	32	-	-	-	-	-	-	-	-	-	-	-	-	21	-	-	-	24	-	-	-	24	-	-	-	-	-	-	15	19	-	-	-	2.27493077574204e-05	-	-	4.60136716826334e-05	-	-	-	-	-	-	-	-	-	-	-	-	0.000142295065793239	-	-	-	0.000117392922174103	-	-	-	9.22426395772797e-05	-	-	-	-	-	-	0.000107129849097623	8.20493169615837e-05	-	-
ENSG00000002726	7	27	31	8.21150461716636e-05	-	-	-	-	-	-	27	-	-	-	-	124	-	-	5	-	-	-	-	-	116	-	31	10	-	-	-	-	37	-	-	-	-	-	-	-	-	-	-	-	-	-	8.21150461716636e-05	-	-	-	-	0.000333702632525421	-	-	1.62055858723421e-05	-	-	-	-	-	0.000871249825700799	-	2.14687793740163e-05	1.69156916477946e-05	-	-	-	-	9.36296070773376e-05	-	-	-	-	-	-	-
ENSG00000002822	17	20	9.5	1.67140463909252e-05	10	26	-	-	-	3	5	-	-	-	-	-	4	3	32	-	-	-	7.5	-	-	6	3	-	11	-	4	12.5	8	10	-	-	-	10	12	-	1.7108843336161e-05	4.65100995288493e-05	-	-	-	6.58388320115249e-06	6.39705159889008e-06	-	-	-	-	-	1.27100404268055e-05	7.28473283986211e-06	6.39855214563579e-05	-	-	-	1.03650621870507e-05	-	-	1.63192494456894e-05	2.91400512937698e-06	-	9.87585194821009e-06	-	1.90538010317092e-06	2.60481534649623e-05	4.13930227437062e-05	3.63821619241011e-05	-	-	-	2.68349597656944e-05	2.49265830754931e-05	-
ENSG00000002834	34	23	61	0.000235711585091628	78	104	9	64	16	78	103	-	113	67	-	40	58	57	238	52	20	35	73	58	49	107	78	16	61	61	53	99	110	42.5	57	61	122	113	153	46	0.000273731166207286	0.000341549686206812	5.94091780778423e-05	8.78157244085824e-05	3.94728996612802e-05	0.00016606487830437	0.000225250999455403	-	0.000167649059910136	0.000300513455281534	-	0.000173542343386096	0.000246172170727853	0.000265954197446701	0.000600724609203554	3.6988085755756e-05	0.000186026088998751	9.46991732586278e-05	0.000445127598582916	0.000255558980542256	0.000702091889391739	0.000366992565463892	0.000185506832229621	4.21181819341138e-05	0.000150576441799613	0.000127551042133809	0.00013756384086621	0.000616330952108412	0.000489924708461091	0.000305367864398239	9.51780619149238e-05	0.000176816185756447	0.000589593220741043	0.000464994068629489	0.000606934506065572	4.21070630839146e-05
