GeneID	#Tissues	maxPeptides	medianSpectralCount	medianAbundance	SpectralCount.Adult_Adrenalgland	SpectralCount.Adult_Bcells	SpectralCount.Adult_CD4Tcells	SpectralCount.Adult_CD8Tcells	SpectralCount.Adult_Colon	SpectralCount.Adult_Esophagus	SpectralCount.Adult_Frontalcortex	SpectralCount.Adult_Gallbladder	SpectralCount.Adult_Heart	SpectralCount.Adult_Kidney	SpectralCount.Adult_Liver	SpectralCount.Adult_Lung	SpectralCount.Adult_Monocytes	SpectralCount.Adult_NKcells	SpectralCount.Adult_Ovary	SpectralCount.Adult_Pancreas	SpectralCount.Adult_Platelets	SpectralCount.Adult_Prostate	SpectralCount.Adult_Rectum	SpectralCount.Adult_Retina	SpectralCount.Adult_Spinalcord	SpectralCount.Adult_Testis	SpectralCount.Adult_Urinarybladder	SpectralCount.Fetal_Brain	SpectralCount.Fetal_Gut	SpectralCount.Fetal_Heart	SpectralCount.Fetal_Liver	SpectralCount.Fetal_Ovary	SpectralCount.Fetal_Placenta	SpectralCount.Fetal_Testis	WithInSampleAbundance.Adult_Adrenalgland	WithInSampleAbundance.Adult_Bcells	WithInSampleAbundance.Adult_CD4Tcells	WithInSampleAbundance.Adult_CD8Tcells	WithInSampleAbundance.Adult_Colon	WithInSampleAbundance.Adult_Esophagus	WithInSampleAbundance.Adult_Frontalcortex	WithInSampleAbundance.Adult_Gallbladder	WithInSampleAbundance.Adult_Heart	WithInSampleAbundance.Adult_Kidney	WithInSampleAbundance.Adult_Liver	WithInSampleAbundance.Adult_Lung	WithInSampleAbundance.Adult_Monocytes	WithInSampleAbundance.Adult_NKcells	WithInSampleAbundance.Adult_Ovary	WithInSampleAbundance.Adult_Pancreas	WithInSampleAbundance.Adult_Platelets	WithInSampleAbundance.Adult_Prostate	WithInSampleAbundance.Adult_Rectum	WithInSampleAbundance.Adult_Retina	WithInSampleAbundance.Adult_Spinalcord	WithInSampleAbundance.Adult_Testis	WithInSampleAbundance.Adult_Urinarybladder	WithInSampleAbundance.Fetal_Brain	WithInSampleAbundance.Fetal_Gut	WithInSampleAbundance.Fetal_Heart	WithInSampleAbundance.Fetal_Liver	WithInSampleAbundance.Fetal_Ovary	WithInSampleAbundance.Fetal_Placenta	WithInSampleAbundance.Fetal_Testis
ENSG00000000003	6	4	3.5	8.62465645974618e-06	-	-	-	-	3	-	-	-	-	-	-	-	-	-	4	3	-	6	-	-	-	3	-	-	-	-	-	6	-	-	-	-	-	-	9.94178303210647e-06	-	-	-	-	-	-	-	-	-	6.76251802955097e-06	2.28762992633235e-05	-	7.3075298873859e-06	-	-	-	6.56485274783278e-06	-	-	-	-	-	5.19739227587129e-05	-	-
ENSG00000000419	27	13	8	2.60933039724155e-05	18.5	10.5	5	18	5.5	5	4	7	-	7	10.5	7	-	20	14.5	8.5	9	5.5	3.5	16.5	-	13.5	5	6	8.5	6	8	7.5	13	11	8.43419166325217e-05	2.19929820215488e-05	1.01799954425434e-05	2.54607684862801e-05	8.32186159730048e-06	2.06793837406004e-05	1.38582647865539e-05	1.35179991405598e-05	-	2.25065628828544e-05	3.47142410682226e-05	7.3319636763283e-05	-	4.27881224795068e-05	6.85618674551319e-05	2.98530245916414e-05	4.28230397885174e-05	1.63317490603215e-05	1.6158461662253e-05	3.34532949370041e-05	-	5.1228298077232e-05	1.27337191341593e-05	8.52918277005337e-06	3.47644805718032e-05	1.37725550878456e-05	4.68407405278344e-05	7.3251907017835e-05	3.23960684511182e-05	4.81822691104753e-05
ENSG00000000457	1	3	3	4.69871021735173e-06	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.69871021735173e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000000938	4	19	11	2.25953808501477e-05	-	6	-	6	-	-	-	-	-	-	-	-	24	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.72954820713383e-05	-	9.57424257202821e-06	-	-	-	-	-	-	-	-	0.000533850619475044	2.04932810985179e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000000971	26	67	43.5	0.00010444090661494	138	-	-	-	133.5	49	14	415	12	39	51	53	383	-	205	70	14	110.5	121	8	76.5	195	215	9	19	39	29	7	10.5	14	0.000206653489392331	-	-	-	0.000256343187356621	0.000150889754292003	9.57469657780098e-06	0.000712751367129394	5.52014948085159e-05	7.81076993929387e-05	0.000105731932907916	0.000197035823226569	0.00339418034788985	-	0.000213033385037096	0.000147267247129875	5.02886179937365e-05	0.000145058015884704	0.000191219470186473	1.06130535390624e-05	9.75347867596217e-05	0.000210959449801011	0.000373881902097755	2.22105759721543e-05	3.51559645710061e-05	2.58223413633073e-05	1.45316352245106e-05	2.56698983254189e-05	3.2888399618002e-05	9.61136536054061e-06
ENSG00000001036	11	8	5	1.39826623526894e-05	7	-	-	-	-	-	-	-	-	5.5	5	-	6	-	6	-	-	-	3	-	-	5	-	-	12.5	-	3	4	-	5	6.69268122103274e-05	-	-	-	-	-	-	-	-	8.47034873263597e-06	2.05332673717497e-05	-	4.33518711549687e-05	-	9.31859136396083e-06	-	-	-	1.39826623526894e-05	-	-	1.2093837940203e-05	-	-	2.60902713610651e-05	-	6.45474752407471e-06	2.49451639629329e-05	-	3.53780203855693e-06
ENSG00000001084	30	20	15	3.33847822121892e-05	16	21	7.5	27	16	5	47	10	11.5	9	17	3	9.5	17	20	16	5	25.5	23.5	11	31.5	19.5	29	6	10	14	33	10	4	20	4.9400183231093e-05	1.46745988673843e-05	2.39309222722048e-05	2.61404320412654e-05	2.95104738990215e-05	2.28020233002901e-05	4.80427344873958e-05	2.28189792624335e-05	4.25245238504297e-05	1.7539349158071e-05	9.81620561368997e-05	6.62262407981197e-06	3.21791537988519e-05	2.34287156054662e-05	2.49617147236176e-05	5.80660094973666e-05	1.76383242013349e-05	3.64619666034864e-05	4.34764824473785e-05	3.58011088230066e-05	6.92071729247527e-05	4.44435263239669e-05	4.68720690433401e-05	1.85227462384372e-05	2.01826600181781e-05	1.16865400567353e-05	3.28147175271445e-05	3.38303601282796e-05	1.43715550524245e-05	1.23710762625523e-05
ENSG00000001167	3	3	13	1.5432178286762e-05	-	16	-	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	4.34906710412735e-05	-	1.5432178286762e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.06458357009919e-05	-	-	-	-	-	-	-	-
ENSG00000001497	14	13	10	1.29951583337102e-05	-	21	4	15.5	-	-	-	-	-	-	-	-	-	14	12	3	-	-	-	-	-	11	-	5	6	5.5	4	14.5	3	10	-	2.54776401216039e-05	9.82820651249079e-06	1.31993709155601e-05	-	-	-	-	-	-	-	-	-	1.66196217126366e-05	1.94312729905106e-05	1.29951583337102e-05	-	-	-	-	-	1.65250779255651e-05	-	1.04994149274893e-05	1.56963468873013e-05	3.26172826739513e-06	9.45315552600519e-07	4.40870569096721e-05	7.95699579682778e-06	1.07326813025298e-05
ENSG00000001561	6	9	7	1.69416497266056e-05	-	8	3	11	-	-	6	-	-	-	-	-	-	29.5	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.67016739350865e-05	2.05930139329976e-05	1.71816255181248e-05	-	-	7.878037741017e-06	-	-	-	-	-	-	6.14504457397934e-05	-	-	5.12473848628495e-06	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000001626	1	16	24	3.29796831484418e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.29796831484418e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000001629	5	9	5	7.96693696052222e-06	-	-	-	4	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	3	14	-	5	-	-	-	-	-	-	-	-	-	1.76931326331883e-06	-	-	7.10718597116224e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	8.33455826796774e-06	1.81713759047196e-05	-	7.96693696052222e-06	-	-	-	-	-	-
ENSG00000001630	16	32	11	3.91765550966702e-05	47	-	-	-	-	-	-	-	-	3	17	7	-	-	14	10	-	3	3	13	-	21	-	9	3	5.5	83	37.5	-	102	0.000323331847939126	-	-	-	-	-	-	-	-	5.91843328178436e-06	6.98285010596316e-05	4.5718645736206e-05	-	-	6.93667834906833e-05	3.12591227149843e-05	-	2.80719154015319e-06	4.70235125249098e-06	2.38174293155802e-05	-	4.79945068759429e-05	-	3.36692523048387e-05	1.30761157129648e-05	4.35628847674758e-06	0.000166538680012543	0.00025382309743862	-	0.000326691030773117
